mahConsumed,Voltage
568.450,3.748
569.457,3.748
570.463,3.748
571.470,3.748
572.477,3.748
573.483,3.748
574.489,3.748
575.496,3.744
576.502,3.744
577.509,3.744
578.515,3.744
579.521,3.744
580.527,3.744
581.534,3.744
582.540,3.740
583.546,3.744
584.552,3.744
585.558,3.740
586.564,3.740
587.570,3.740
588.576,3.740
589.582,3.740
590.587,3.740
591.593,3.740
592.599,3.740
593.605,3.740
594.611,3.740
595.616,3.736
596.622,3.736
597.628,3.736
598.634,3.740
599.640,3.736
600.646,3.736
601.652,3.736
602.658,3.736
603.663,3.736
604.668,3.736
605.673,3.736
606.678,3.736
607.684,3.732
608.689,3.732
609.695,3.732
610.700,3.732
611.706,3.732
612.710,3.732
613.716,3.732
614.721,3.732
615.726,3.732
616.731,3.732
617.737,3.732
618.743,3.728
619.748,3.728
620.754,3.728
621.759,3.728
622.764,3.728
623.769,3.728
624.774,3.728
625.779,3.728
626.784,3.728
627.789,3.728
628.795,3.728
629.800,3.728
630.805,3.724
631.810,3.728
632.815,3.724
633.821,3.724
634.825,3.724
635.831,3.724
636.836,3.724
637.840,3.724
638.845,3.724
639.850,3.724
640.854,3.724
641.859,3.724
642.864,3.720
643.868,3.720
644.873,3.720
645.878,3.724
646.882,3.720
647.887,3.720
648.892,3.720
649.896,3.720
650.901,3.720
651.906,3.720
652.911,3.720
653.915,3.716
654.920,3.720
655.926,3.716
656.931,3.720
657.936,3.716
658.940,3.716
659.945,3.716
660.950,3.716
661.954,3.716
662.959,3.712
663.964,3.716
664.970,3.716
665.975,3.716
666.980,3.712
667.986,3.716
668.992,3.716
669.997,3.712
671.003,3.712
672.008,3.712
673.014,3.712
674.019,3.712
675.023,3.712
676.029,3.712
677.034,3.712
678.040,3.712
679.045,3.712
680.050,3.712
681.055,3.712
682.061,3.708
683.066,3.708
684.071,3.712
685.077,3.712
686.082,3.708
687.087,3.708
688.093,3.708
689.099,3.708
690.105,3.708
691.110,3.708
692.116,3.708
693.121,3.704
694.126,3.704
695.131,3.704
696.136,3.704
697.141,3.704
698.146,3.704
699.151,3.704
700.156,3.704
701.161,3.704
702.166,3.704
703.171,3.704
704.176,3.704
705.181,3.704
706.186,3.704
707.191,3.700
708.196,3.700
709.201,3.704
710.205,3.700
711.210,3.700
712.215,3.700
713.219,3.700
714.224,3.700
715.228,3.700
716.233,3.700
717.237,3.700
718.241,3.700
719.245,3.700
720.250,3.700
721.254,3.696
722.258,3.696
723.262,3.696
724.266,3.696
725.270,3.696
726.274,3.696
727.278,3.696
728.282,3.696
729.286,3.696
730.290,3.696
731.294,3.696
732.297,3.692
733.301,3.692
734.305,3.692
735.309,3.692
736.313,3.692
737.316,3.692
738.320,3.692
739.323,3.692
740.327,3.692
741.331,3.692
742.336,3.692
743.339,3.692
744.343,3.688
745.346,3.688
746.350,3.688
747.353,3.688
748.357,3.688
749.361,3.688
750.364,3.688
751.368,3.688
752.371,3.684
753.374,3.688
754.377,3.688
755.380,3.688
756.383,3.688
757.387,3.688
758.390,3.684
759.393,3.688
760.397,3.684
761.400,3.684
762.403,3.684
763.406,3.684
764.409,3.684
765.412,3.684
766.416,3.684
767.419,3.684
768.422,3.684
769.426,3.684
770.429,3.684
771.432,3.680
772.435,3.680
773.438,3.680
774.441,3.680
775.444,3.680
776.448,3.680
777.451,3.680
778.454,3.680
779.457,3.680
780.461,3.680
781.464,3.680
782.467,3.676
783.470,3.676
784.473,3.676
785.476,3.680
786.479,3.676
787.481,3.676
788.484,3.676
789.487,3.676
790.490,3.676
791.493,3.676
792.496,3.676
793.499,3.676
794.501,3.672
795.503,3.676
796.506,3.672
797.509,3.676
798.511,3.672
799.514,3.672
800.516,3.672
801.519,3.672
802.522,3.672
803.525,3.672
804.527,3.672
805.530,3.672
806.533,3.672
807.536,3.672
808.538,3.668
809.541,3.672
810.544,3.668
811.547,3.668
812.550,3.668
813.552,3.668
814.555,3.668
815.558,3.668
816.561,3.668
817.563,3.668
818.566,3.668
819.568,3.668
820.571,3.668
821.573,3.668
822.576,3.668
823.578,3.668
824.581,3.668
825.583,3.664
826.585,3.664
827.588,3.664
828.590,3.664
829.592,3.664
830.595,3.664
831.597,3.664
832.599,3.664
833.601,3.664
834.604,3.664
835.605,3.660
836.607,3.664
837.609,3.664
838.612,3.660
839.614,3.660
840.616,3.660
841.618,3.660
842.621,3.660
843.623,3.660
844.625,3.660
845.626,3.660
846.629,3.660
847.631,3.656
848.633,3.660
849.635,3.656
850.637,3.660
851.639,3.660
852.640,3.656
853.642,3.656
854.644,3.656
855.646,3.656
856.648,3.656
857.650,3.656
858.652,3.656
859.654,3.656
860.656,3.656
861.658,3.656
862.660,3.656
863.662,3.656
864.663,3.652
865.665,3.652
866.668,3.652
867.669,3.652
868.672,3.652
869.674,3.652
870.676,3.652
871.679,3.652
872.682,3.652
873.684,3.652
874.686,3.652
875.688,3.652
876.691,3.652
877.693,3.652
878.696,3.652
879.698,3.648
880.700,3.648
881.702,3.648
882.705,3.648
883.707,3.648
884.710,3.648
885.712,3.648
886.715,3.648
887.717,3.648
888.719,3.648
889.721,3.648
890.723,3.644
891.725,3.648
892.727,3.648
893.728,3.644
894.730,3.644
895.732,3.644
896.734,3.644
897.735,3.644
898.737,3.644
899.738,3.644
900.740,3.644
901.742,3.644
902.744,3.644
903.746,3.644
904.747,3.644
905.749,3.644
906.751,3.644
907.752,3.640
908.754,3.644
909.756,3.644
910.757,3.640
911.759,3.644
912.761,3.640
913.763,3.640
914.765,3.640
915.766,3.640
916.768,3.640
917.769,3.640
918.771,3.640
919.773,3.640
920.775,3.640
921.777,3.640
922.779,3.640
923.780,3.640
924.782,3.640
925.784,3.640
926.786,3.636
927.788,3.636
928.790,3.636
929.791,3.636
930.792,3.636
931.794,3.636
932.796,3.636
933.798,3.636
934.799,3.636
935.801,3.636
936.802,3.636
937.804,3.636
938.806,3.636
939.807,3.636
940.808,3.636
941.809,3.636
942.810,3.636
943.812,3.636
944.813,3.636
945.815,3.632
946.816,3.632
947.818,3.636
948.818,3.636
949.820,3.636
950.820,3.636
951.822,3.632
952.824,3.632
953.825,3.632
954.826,3.632
955.828,3.636
956.830,3.632
957.831,3.632
958.832,3.632
959.834,3.632
960.835,3.632
961.836,3.632
962.837,3.632
963.839,3.632
964.840,3.632
965.841,3.632
966.842,3.632
967.844,3.632
968.845,3.632
969.847,3.632
970.849,3.632
971.850,3.632
972.851,3.632
973.853,3.632
974.854,3.632
975.855,3.632
976.857,3.632
977.858,3.632
978.860,3.632
979.861,3.632
980.862,3.632
981.863,3.632
982.865,3.632
983.866,3.632
984.867,3.632
985.868,3.632
986.870,3.632
987.871,3.628
988.872,3.628
989.873,3.632
990.874,3.628
991.876,3.628
992.877,3.632
993.878,3.632
994.880,3.632
995.881,3.628
996.883,3.628
997.884,3.628
998.885,3.628
999.887,3.628
1000.888,3.628
1001.889,3.628
1002.890,3.628
1003.892,3.628
1004.893,3.628
1005.895,3.628
1006.897,3.628
1007.898,3.628
1008.899,3.628
1009.901,3.628
1010.902,3.628
1011.903,3.628
1012.904,3.628
1013.905,3.628
1014.906,3.624
1015.907,3.628
1016.907,3.624
1017.908,3.624
1018.908,3.628
1019.909,3.628
1020.909,3.628
1021.910,3.624
1022.910,3.628
1023.911,3.624
1024.914,3.624
1025.915,3.624
1026.916,3.624
1027.918,3.624
1028.920,3.624
1029.922,3.624
1030.923,3.624
1031.925,3.624
1032.926,3.624
1033.928,3.624
1034.930,3.624
1035.931,3.624
1036.933,3.624
1037.935,3.624
1038.937,3.624
1039.939,3.620
1040.941,3.620
1041.943,3.624
1042.945,3.620
1043.947,3.620
1044.948,3.624
1045.950,3.620
1046.952,3.620
1047.954,3.620
1048.956,3.620
1049.958,3.620
1050.961,3.620
1051.962,3.620
1052.963,3.620
1053.964,3.620
1054.965,3.620
1055.966,3.620
1056.968,3.620
1057.969,3.620
1058.970,3.620
1059.971,3.620
1060.973,3.616
1061.975,3.620
1062.977,3.616
1063.979,3.620
1064.980,3.620
1065.982,3.616
1066.984,3.616
1067.986,3.616
1068.988,3.616
1069.990,3.616
1070.991,3.616
1071.993,3.616
1072.994,3.616
1073.996,3.616
1074.997,3.616
1075.998,3.616
1077.000,3.616
1078.000,3.612
1079.002,3.612
1080.002,3.612
1081.003,3.616
1082.004,3.612
1083.005,3.612
1084.022,3.612
1085.038,3.612
1086.039,3.612
1087.055,3.612
1088.056,3.608
1089.056,3.612
1090.057,3.608
1091.057,3.612
1092.074,3.608
1093.074,3.608
1094.075,3.608
1095.076,3.608
1096.076,3.608
1097.076,3.608
1098.077,3.608
1099.077,3.608
1100.077,3.608
1101.093,3.608
1102.093,3.608
1103.094,3.608
1104.111,3.604
1105.112,3.604
1106.112,3.608
1107.129,3.604
1108.145,3.608
1109.145,3.604
1110.145,3.604
1111.145,3.604
1112.146,3.604
1113.162,3.604
1114.163,3.604
1115.164,3.604
1116.165,3.604
1117.165,3.600
1118.166,3.604
1119.167,3.604
1120.168,3.600
1121.169,3.600
1122.169,3.600
1123.170,3.600
1124.171,3.600
1125.171,3.600
1126.172,3.600
1127.172,3.600
1128.173,3.600
1129.189,3.600
1130.189,3.596
1131.189,3.596
1132.205,3.596
1133.205,3.596
1134.222,3.596
1135.237,3.596
1136.254,3.596
1137.270,3.596
1138.286,3.592
1139.302,3.596
1140.316,3.596
1141.332,3.592
1142.348,3.592
1143.364,3.596
1144.380,3.592
1145.396,3.592
1146.396,3.592
1147.412,3.592
1148.413,3.588
1149.429,3.588
1150.445,3.592
1151.460,3.588
1152.476,3.588
1153.492,3.588
1154.508,3.588
1155.508,3.588
1156.508,3.584
1157.524,3.584
1158.539,3.584
1159.556,3.584
1160.572,3.584
1161.587,3.580
1162.603,3.580
1163.619,3.580
1164.635,3.580
1165.651,3.580
1166.667,3.580
1167.682,3.576
1168.699,3.576
1169.714,3.576
1170.729,3.576
1171.745,3.576
1172.760,3.572
1173.776,3.572
1174.790,3.572
1175.805,3.572
1176.820,3.572
1177.834,3.572
1178.848,3.568
1179.862,3.568
1180.877,3.568
1181.891,3.568
1182.906,3.568
1183.921,3.564
1184.934,3.564
1185.950,3.564
1186.965,3.564
1187.981,3.564
1188.996,3.560
1190.010,3.560
1191.024,3.560
1192.039,3.556
1193.053,3.556
1194.067,3.556
1195.081,3.556
1196.095,3.556
1197.109,3.552
1198.124,3.552
1199.138,3.552
1200.152,3.552
1201.166,3.552
1202.179,3.548
1203.193,3.548
1204.208,3.548
1205.222,3.548
1206.237,3.544
1207.251,3.544
1208.264,3.544
1209.278,3.540
1210.292,3.540
1211.305,3.540
1212.318,3.540
1213.332,3.540
1214.346,3.536
1215.360,3.536
1216.374,3.536
1217.387,3.532
1218.401,3.532
1219.414,3.532
1220.428,3.532
1221.442,3.528
1222.456,3.528
1223.469,3.528
1224.483,3.528
1225.497,3.524
1226.510,3.524
1227.523,3.524
1228.537,3.524
1229.550,3.520
1230.563,3.520
1231.577,3.520
1232.590,3.516
1233.604,3.516
1234.617,3.516
1235.630,3.512
1236.644,3.512
1237.658,3.512
1238.671,3.508
1239.684,3.508
1240.697,3.508
1241.710,3.504
1242.724,3.504
1243.736,3.504
1244.085,3.500
